latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
47.66896088,-122.3938769,2,1,1,1,1,1,26,16,98,10,10,10,10,10,10,3,3.87
47.67168771,-122.3925586,5,3,3,5,1,5,1125,1,100,10,10,10,10,10,10,1,1
47.67180998,-122.3834372,3,1,1,1,2,1,1125,8,100,10,10,10,10,10,10,1,3.38
47.66502233,-122.3827968,3,1,0,1,2,1,1125,1,100,10,10,10,10,10,10,1,1
47.66898921,-122.3951453,2,1,1,1,2,1,1125,5,92,9,8,9,10,10,10,1,0.65
47.6693543,-122.3903476,2,1.5,1,1,1,1,1125,0,,,,,,,,1,
47.67166568,-122.3779123,5,1.5,2,2,2,4,1125,26,94,10,9,10,10,10,9,1,0.96
47.67058142,-122.3822112,6,1.5,2,3,4,1,1125,113,94,9,9,10,10,10,9,2,7.53
47.67210896,-122.3835885,4,1,1,1,1,1,7,0,,,,,,,,1,
47.67145807,-122.3791745,5,3,2,2,1,3,1125,15,96,10,10,9,10,10,9,1,1.22
47.67155977,-122.382704,3,1,2,2,2,3,1125,44,91,9,9,10,10,9,9,1,5.87
47.67283504,-122.3874716,2,1,1,1,1,1,1125,7,94,10,10,10,10,10,10,2,1.91
47.67397129,-122.3893805,8,2.5,4,5,6,3,1125,13,97,10,10,10,10,10,10,1,2.05
47.6736071,-122.3938029,2,1,1,1,1,2,14,44,97,10,10,10,10,10,10,2,6.23
47.66939869,-122.389254,2,1,1,1,1,1,31,56,96,10,10,10,10,10,10,1,3.11
47.6721767,-122.3903617,2,1,0,1,1,2,1125,11,95,10,10,9,10,10,9,1,3.55
47.67349962,-122.3869636,2,1,1,1,2,2,100,39,98,10,10,10,10,10,10,1,2.22
47.66934443,-122.3865391,3,1,1,1,1,1,1125,10,90,9,9,10,10,10,9,1,1.68
47.6719218,-122.3806568,4,2.5,3,2,1,1,1125,6,90,10,10,9,9,10,9,1,0.34
47.66934544,-122.3969735,2,1,1,1,1,1,1125,4,85,8,8,10,10,10,10,1,0.2
47.66746398,-122.3782553,2,1,0,1,2,2,14,79,96,10,10,10,10,10,10,1,4.67
47.67181197,-122.3889813,2,1,1,1,0,2,28,50,96,10,10,10,10,10,10,2,5.32
47.67082046,-122.3705111,4,1,1,2,2,2,1125,28,89,10,9,10,10,10,9,1,5.79
47.6637344,-122.3620801,1,1,1,1,1,2,10,20,100,10,10,10,10,9,10,1,0.68
47.6675968,-122.3647017,2,1,1,1,2,2,14,57,92,10,9,10,10,9,9,1,2.56
47.67053238,-122.3653185,4,1,1,1,2,1,1125,38,94,10,9,10,10,9,9,2,2.61
47.66676677,-122.3688235,4,1,2,2,1,1,1125,71,95,10,10,10,10,10,9,1,7.2
47.67235398,-122.3661749,2,1,1,1,2,3,365,17,99,10,10,10,10,10,10,2,0.82
47.66583687,-122.3701323,10,2.5,3,5,6,1,1125,13,98,10,10,10,10,10,10,1,1.06
47.67433308,-122.375678,6,3,3,3,5,2,7,3,93,9,7,9,10,9,8,1,0.22
47.67269174,-122.3735586,2,1.5,1,1,0,2,1125,19,98,10,10,10,10,10,10,1,1.84
47.67529056,-122.3704741,2,1,1,1,1,14,1125,18,99,10,10,10,10,10,10,1,1.65
47.66899339,-122.3628603,4,1,2,2,1,2,14,12,71,8,6,9,9,9,7,1,0.61
47.66879475,-122.3616125,4,1,2,2,1,1,1125,4,95,10,10,9,10,10,10,1,0.85
47.67388232,-122.3746263,2,1.5,1,1,2,1,1125,7,97,10,10,10,10,10,10,1,3.96
47.66578734,-122.3619923,2,1,1,1,1,1,1125,23,97,10,10,10,10,9,10,1,2.82
47.67228263,-122.3731616,2,1.5,1,1,2,1,1125,2,90,10,8,10,10,10,9,1,2
47.66835401,-122.3611388,2,1,1,1,1,1,7,0,,,,,,,,1,
47.66880846,-122.3662618,8,1,2,6,4,2,1125,39,95,10,10,9,10,10,9,1,2.87
47.66832396,-122.3718212,2,1,1,1,1,2,1125,64,96,10,10,10,10,10,10,1,3.86
47.6723724,-122.3628417,1,2,1,1,1,1,1125,4,80,10,8,9,9,9,9,1,0.82
47.66388206,-122.3621749,4,2,3,3,1,4,7,0,,,,,,,,1,
47.67092865,-122.3667818,2,1,1,1,1,5,1125,8,90,10,9,10,10,10,10,1,1.21
47.67261671,-122.3743927,1,1,1,1,1,30,90,14,97,10,10,10,10,10,10,1,1.25
47.67271728,-122.3614171,2,1,1,1,1,1,1125,1,100,8,8,10,10,10,8,1,0.3
47.67274336,-122.3731945,8,2.5,4,4,8,1,1125,0,,,,,,,,1,
47.66454921,-122.3682089,2,1,1,1,1,2,1125,85,99,10,10,10,10,9,10,1,4.28
47.66658567,-122.3656518,8,2,2,4,5,1,1125,0,,,,,,,,1,
47.67171434,-122.3658876,2,1,1,1,2,2,14,125,97,10,10,10,10,10,10,1,2.18
47.66686785,-122.3640313,10,2,3,3,8,1,90,121,91,9,9,10,10,9,9,8,5.15
47.66807053,-122.3620862,3,1,1,2,2,2,120,131,97,10,10,10,10,9,10,1,2.59
47.67212369,-122.3650094,2,1,0,1,1,2,1125,49,98,10,10,10,10,10,10,1,2.85
47.67358404,-122.3738143,4,1.5,1,2,4,1,1125,2,100,10,10,10,10,8,8,1,1.3
47.66337838,-122.3646915,3,1,1,3,2,2,1125,28,95,10,10,10,10,10,10,1,4.29
47.66934139,-122.3662641,4,1,1,1,2,2,1125,111,92,9,9,10,10,10,9,2,4.89
47.66493716,-122.3616797,4,1,1,3,2,1,16,49,97,10,10,10,10,10,10,2,4.51
47.66884467,-122.3683793,6,1,2,3,4,3,1125,28,96,10,10,10,10,10,10,1,3.4
47.6650167,-122.3647071,4,1,2,2,1,2,1125,0,,,,,,,,1,
47.66893752,-122.3733392,4,1,1,2,1,1,1125,3,100,10,10,10,10,9,9,1,3
47.66597002,-122.3686393,2,1,1,1,1,1,1125,0,,,,,,,,1,
47.67431327,-122.3679688,1,1,1,1,1,4,1125,9,89,8,9,9,9,9,9,1,0.47
47.66520903,-122.3624565,4,1,2,2,4,2,45,12,97,10,10,10,10,10,10,1,5.22
47.66444545,-122.370171,2,1,1,1,1,1,1125,50,95,10,10,10,10,10,9,1,5.02
47.66682168,-122.3629367,3,1,1,1,1,3,30,3,100,10,10,9,10,10,10,1,0.85
47.67122243,-122.3636869,2,1,1,1,1,1,1125,24,98,10,10,10,10,10,10,1,1.58
47.66365549,-122.3669411,2,1,0,1,1,1,7,81,95,10,10,10,10,9,10,1,12.15
47.67548903,-122.3675145,3,1,2,2,1,1,1125,0,,,,,,,,1,
47.66688717,-122.3646641,2,1,1,1,1,2,14,19,85,8,7,9,9,9,8,1,0.98
47.67357118,-122.3642743,8,3.5,4,4,1,3,1125,6,100,10,10,10,10,9,9,1,0.95
47.66524464,-122.3704095,4,1,0,1,2,2,30,115,99,10,10,10,10,10,10,1,4.79
47.67167956,-122.3653898,2,1,1,1,1,1,1125,72,99,10,10,10,10,10,10,2,2.14
47.66624017,-122.3609177,12,2,4,5,9,2,1125,12,84,8,9,10,10,9,8,2,0.28
47.67091242,-122.3655995,6,1.5,3,3,1,2,1125,1,100,10,10,10,10,10,10,8,0.25
47.67098702,-122.3751406,2,1,1,1,1,14,90,31,95,10,9,10,10,10,10,1,3.31
47.66539135,-122.3660988,3,1,1,1,2,3,60,125,97,10,10,10,10,10,10,1,3.57
47.67342403,-122.3742328,3,1,1,2,2,2,10,7,97,9,10,10,10,10,10,1,1.24
47.67155243,-122.3676333,3,1,1,2,1,1,1125,2,100,10,10,10,10,10,10,1,2
47.66338811,-122.3613784,4,1,1,1,2,1,1125,0,,,,,,,,1,
47.66336498,-122.3624685,2,1,1,1,1,4,15,62,97,10,10,10,10,10,9,1,2.7
47.67076135,-122.371095,2,1,1,2,1,1,1125,0,,,,,,,,1,
47.67591574,-122.3704736,5,1,1,3,4,2,1125,74,98,10,10,10,10,10,10,1,3.3
47.66365131,-122.3620818,4,1,1,2,2,2,1125,1,100,10,10,10,10,10,10,1,0.86
47.66525243,-122.3619207,8,2,3,3,8,1,1125,107,95,10,9,10,10,10,9,8,5.63
47.67133442,-122.3657976,6,2,3,3,1,3,21,10,96,10,10,10,10,9,10,2,0.29
47.67307821,-122.3641401,2,1,1,1,1,1,1125,155,96,10,10,10,10,10,10,1,9.14
47.66678535,-122.3667514,5,3,2,2,4,2,1125,0,,,,,,,,1,
47.63184304,-122.3451235,2,1,1,1,1,2,28,15,100,10,10,10,10,10,10,1,2.27
47.62812031,-122.3487521,2,1,1,1,2,2,1125,17,96,10,10,10,10,10,9,1,1.04
47.64359973,-122.3446299,2,1,1,1,1,2,1125,13,92,9,9,10,10,9,9,1,1.86
47.62889479,-122.3475714,2,1,1,1,2,2,1125,13,97,10,10,10,10,10,10,1,2.52
47.63899882,-122.3435739,2,1,1,1,1,1,1125,2,100,10,10,10,10,10,10,1,0.26
47.63950083,-122.3433039,2,1,1,1,1,1,1125,1,,,,,,,,1,1
47.63152636,-122.3562828,6,2.5,3,4,1,2,14,98,98,10,10,10,10,10,10,1,2.56
47.64017717,-122.3465226,2,1,1,1,1,1,1125,2,100,10,10,10,10,9,10,2,2
47.64290503,-122.346705,4,1,1,1,3,2,13,28,90,10,9,9,10,9,9,1,5.92
47.64075557,-122.3428766,4,1,1,2,4,2,1125,17,91,10,9,10,10,9,9,5,3.15
47.63544456,-122.3555166,5,1,1,4,2,1,99,139,97,10,10,10,9,10,10,1,4.59
47.64269717,-122.3436911,4,1,1,1,1,2,1125,5,100,10,10,10,10,10,9,1,0.32
47.63892301,-122.3428269,4,1,1,2,0,1,1125,15,96,10,9,10,10,9,10,1,5
47.64291211,-122.3446833,1,1,1,1,1,2,180,1,90,,10,10,10,8,10,2,0.03
47.63934586,-122.3431324,4,1,1,2,1,2,1125,0,,,,,,,,5,
47.63507293,-122.3545941,4,1,1,2,4,1,1125,5,88,10,9,9,10,10,10,1,0.31
47.62857355,-122.3559092,3,1,1,1,1,3,1125,0,,,,,,,,1,
47.63793826,-122.3507256,6,2,3,3,1,1,1125,3,93,9,9,10,9,10,10,1,0.6
47.62930931,-122.3441362,2,1,1,1,1,2,15,17,94,10,10,10,10,10,9,1,2.88
47.6305064,-122.3450221,2,1.5,1,1,2,2,1125,31,96,10,10,10,10,10,9,1,3.08
47.630214,-122.3476151,10,2,2,5,1,1,1125,34,92,9,9,10,10,10,9,8,7.18
47.62954816,-122.3465966,2,1,1,1,1,21,1125,1,100,10,10,10,10,10,10,2,0.54
47.6337667,-122.3446154,4,1.5,1,2,2,3,1125,10,100,10,10,10,10,9,10,4,0.35
47.63444164,-122.3437841,2,1,1,1,1,2,6,15,98,10,9,10,10,9,9,1,0.61
47.63211913,-122.3468193,4,2,2,1,3,4,1125,1,100,10,10,10,10,10,10,1,0.21
47.63043465,-122.3501712,4,1,2,3,1,2,1125,7,97,10,10,10,10,10,10,1,1.98
47.63840684,-122.344077,5,2,3,3,5,2,1125,1,100,10,10,10,10,10,10,1,1
47.62900387,-122.3438233,4,1,1,2,1,2,14,28,82,9,8,9,9,9,8,1,1.41
47.63935867,-122.3440287,4,2,2,2,2,2,1125,7,89,9,9,9,9,9,9,1,0.73
47.64011972,-122.3445298,2,1.5,1,1,1,2,7,36,97,10,10,10,10,9,10,1,3.48
47.63815778,-122.3441574,4,1,1,1,1,1,1125,0,,,,,,,,1,
47.63987162,-122.3418345,2,1,1,1,1,2,1125,16,92,10,9,9,10,10,9,1,0.92
47.63214523,-122.3506487,8,1.5,3,5,1,3,1125,4,90,9,10,10,10,10,9,31,0.5
47.63453262,-122.3437901,2,1.5,1,1,1,2,1125,23,98,10,10,10,10,10,10,1,2.92
47.62994743,-122.351388,2,1,1,1,2,3,1125,1,100,10,10,10,10,10,8,1,0.1
47.63192143,-122.3485203,4,1,1,2,2,2,1125,61,97,10,10,10,10,10,10,1,1.93
47.64154276,-122.3446612,4,1,1,2,0,2,1125,50,96,10,10,10,10,9,10,5,5.91
47.63812903,-122.352374,2,1,1,1,1,2,1125,55,97,10,9,10,10,10,10,1,2.29
47.63279988,-122.3465579,2,1,1,1,2,1,1125,1,100,10,10,10,10,10,10,2,0.59
47.63082669,-122.3562298,2,1,1,1,1,2,3,1,100,10,10,10,10,10,10,1,0.2
47.6327564,-122.3469865,8,3.5,3,3,4,1,365,12,100,10,10,10,10,10,9,1,2.67
47.62846484,-122.3465481,4,2,2,2,1,1,5,2,100,,10,,10,,,1,1.71
47.64236917,-122.3440864,4,1.5,2,2,2,2,30,26,98,10,10,10,10,10,10,1,2.57
47.6293877,-122.3459247,4,1,1,2,1,1,1125,0,,,,,,,,1,
47.63685503,-122.3568735,2,1,0,1,1,1,1125,1,100,10,10,10,10,10,10,1,1
47.63630285,-122.3478271,6,2,3,4,1,2,365,53,96,10,10,10,10,9,10,1,2.41
47.63321404,-122.3549398,2,1,1,1,2,1,1125,13,100,10,10,10,10,10,10,1,3.82
